 ,,,,,,
"PRECIOS MÁXIMOS AL PÚBLICO APLICABLES A LAS GASOLINAS Y EL DIÉSEL EN LAS REGIONES QUE SE INDICAN, CORRESPONDIENTES AL PERIODO COMPRENDIDO DEL 7 AL 9 DE OCTUBRE DE 2017",,,,,,
NO. DE REGIÓN,REGIÓN,ESTADO(S),MUNICIPIO(S) Y/O ZONA METROPOLITANA,PRECIOS MÁXIMOS AL PÚBLICO,,
,,,,GASOLINA MENOR A 92 OCTANOS,GASOLINA  MAYOR O IGUAL A 92 OCTANOS,DIÉSEL
,,,JOJUTLA,$16.00,$17.73,$16.88
,,,PUENTE DE IXTLA,$16.00,$17.73,$16.88
,,,TLALTIZAPAN DE ZAPATA,$16.00,$17.73,$16.88
,,,HUITZILAC,$16.00,$17.73,$16.88
,,,ZACATEPEC,$16.00,$17.73,$16.88
,,,MIACATLAN,$16.00,$17.73,$16.88
,,,TEPOZTLAN,$16.00,$17.73,$16.88
,,,XOCHITEPEC,$16.00,$17.73,$16.88
,,,CUERNAVACA,$16.00,$17.73,$16.88
,,,EMILIANO ZAPATA,$16.00,$17.73,$16.88
,,,TEMIXCO,$16.00,$17.73,$16.88
,,,JIUTEPEC,$16.00,$17.73,$16.88
13,CULIACAN,SINALOA,CULIACAN,$16.33,$18.03,$17.22
,,,NAVOLATO,$16.33,$18.03,$17.22
14,DURANGO,DURANGO,NUEVO IDEAL,$16.34,$18.04,$17.16
,,,SANTIAGO PAPASQUIARO,$16.34,$18.04,$17.16
,,,SAN JUAN DEL RIO,$16.34,$18.04,$17.16
,,,PUEBLO NUEVO,$16.34,$18.04,$17.16
,,,SUCHIL,$16.34,$18.04,$17.16
,,,MEZQUITAL,$16.34,$18.04,$17.16
,,,VICENTE GUERRERO,$16.34,$18.04,$17.16
,,,POANAS,$16.34,$18.04,$17.16
,,,GUADALUPE VICTORIA,$16.34,$18.04,$17.16
,,,NOMBRE DE DIOS,$16.34,$18.04,$17.16
,,,CANATLAN,$16.34,$18.04,$17.16
,,,PANUCO DE CORONADO,$16.34,$18.04,$17.16
,,,TOPIA,$16.34,$18.04,$17.16
,,,DURANGO,$16.34,$18.04,$17.16
15,EL CASTILLO,JALISCO,TUXCUECA,$16.48,$18.39,$17.13
,,,ACATIC,$16.48,$18.39,$17.13
,,,TEPATITLAN DE MORELOS,$16.48,$18.39,$17.13
,,,OCOTLAN,$16.48,$18.39,$17.13
,,,TOTOTLAN,$16.48,$18.39,$17.13
,,,ZAPOTLAN DEL REY,$16.48,$18.39,$17.13
,,,JOCOTEPEC,$16.48,$18.39,$17.13
,,,ZACOALCO DE TORRES,$16.48,$18.39,$17.13
,,,PONCITLAN,$16.48,$18.39,$17.13
,,,ZAPOTLANEJO,$16.48,$18.39,$17.13
,,,CHAPALA,$16.48,$18.39,$17.13
,,,ZAPOPAN,$16.48,$18.39,$17.13
,,,JUANACATLAN,$16.48,$18.39,$17.13
,,,IXTLAHUACAN DE LOS MEMBRILLOS,$16.48,$18.39,$17.13
,,,EL SALTO,$16.48,$18.39,$17.13
17,ESCAMELA,VERACRUZ DE IGNACIO DE LA LLAVE,CUITLAHUAC,$15.69,$17.42,$16.56
,,,ZONGOLICA,$15.69,$17.42,$16.56
,,,CHOCAMAN,$15.69,$17.42,$16.56
,,,ATOYAC,$15.69,$17.42,$16.56
,,,SOLEDAD ATZOMPA,$15.69,$17.42,$16.56
,,,YANGA,$15.69,$17.42,$16.56
,,,ACULTZINGO,$15.69,$17.42,$16.56
,,,COSCOMATEPEC,$15.69,$17.42,$16.56
,,,AMATLAN DE LOS REYES,$15.69,$17.42,$16.56
,,,TLILAPAN,$15.69,$17.42,$16.56
,,,CORDOBA,$15.69,$17.42,$16.56
,,,NOGALES,$15.69,$17.42,$16.56
,,,ORIZABA,$15.69,$17.42,$16.56
,,,CAMERINO Z MENDOZA,$15.69,$17.42,$16.56
,,,FORTIN,$15.69,$17.42,$16.56
,,,HUILOAPAN DE CUAUHTEMOC,$15.69,$17.42,$16.56
,,,IXHUATLANCILLO,$15.69,$17.42,$16.56
,,,IXTACZOQUITLAN,$15.69,$17.42,$16.56
,,,MARIANO ESCOBEDO,$15.69,$17.42,$16.56
,,,RAFAEL DELGADO,$15.69,$17.42,$16.56
,,,RIO BLANCO,$15.69,$17.42,$16.56
18,GOMEZ PALACIO,DURANGO,NAZAS,$16.22,$17.92,$17.07
,,,TLAHUALILO,$16.22,$17.92,$17.07
,,,LERDO,$16.22,$17.92,$17.07
19,GUADALAJARA,ZACATECAS,TEUL DE GONZALEZ ORTEGA,$16.47,$18.39,$17.10
,,,BENITO JUAREZ,$16.47,$18.39,$17.10
,,JALISCO,ATENGUILLO,$16.47,$18.39,$17.10
,,,CONCEPCION DE BUENOS AIRES,$16.47,$18.39,$17.10
,,,LA MANZANILLA DE LA PAZ,$16.47,$18.39,$17.10
,,,EL GRULLO,$16.47,$18.39,$17.10
